Council Plan,Priority,Council Plan Indicator,Progress,Equality Indicator,Marmot Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,Directionality,2016/17 end of year progress,2016/17 end of year target,2016/17 half year target status
Globally connected,Supporting businesses to grow,TRUE,NA,FALSE,FALSE,Gross value added (£ per head),pounds,21382,Coventry,2014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,No target set
Globally connected,Supporting businesses to grow,TRUE,WORSE,FALSE,FALSE,Change in business rates tax base (index from 2002 base),number,32.74,Coventry,2013/14,32.3,Coventry,2014/15,30.79,CIPFA,2014/15,42.89,England,2014/15,High is good,Wrong direction,N/A,No target set
Globally connected,Supporting businesses to grow,TRUE,BETTER,FALSE,FALSE,Business rates collectable value ,pounds,300000000,Coventry,2015/16,300000000,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,297.5,On-target
Globally connected,Supporting businesses to grow,FALSE,FALSE,FALSE,FALSE,Business rates collection rate,%,97.8,Coventry,2015/16,55.38,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,N/A,N/A
Globally connected,Supporting businesses to grow,TRUE,BETTER,FALSE,FALSE,"Active enterprises rate per 10,000 population","rate per 10,000 population",362,Coventry,2014,379,Coventry,2015,409,WMCA,2015,529,England,2015,High is good,Right direction,N/A,No target set
Globally connected,Supporting businesses to grow,FALSE,FALSE,FALSE,FALSE,Active enterprises ,number,9805,Coventry,2014,10520,Coventry,2015,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,N/A,N/A
Globally connected,Developing the city centre,TRUE,WORSE,FALSE,FALSE,City centre footfall (year-on-year % change),%,1.3,Coventry,2015/16,-2.4,Coventry,Apr-Sep 2016,N/A,N/A,N/A,-2.2,UK Index ,Apr-Sep 2016,High is good,Wrong direction,N/A,No target set
Globally connected,Raising the profile of Coventry,TRUE,NA,FALSE,FALSE,Visitor trips,number,8217000,Coventry,2013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,No target set
Globally connected,Helping local people into jobs,TRUE,BETTER,FALSE,FALSE,Average resident employment rate,%,64.4,Coventry,Jan-Dec 2015,66.3,Coventry,Jul 2015-Jun 2016,70.6,WMR,Jul 2015-Jun 2016,74,England,Jul 2015-Jun 2016,High is good,Right direction,N/A,No target set
Globally connected,Helping local people into jobs,TRUE,BETTER,FALSE,FALSE,Unemployment rate (model-based),%,6.3,Coventry,Jan-Dec 2015,6,Coventry,Jul 2015-Jun 2016,5.9,WMR,Jul 2015-Jun 2016,5.1,England,Jul 2015-Jun 2016,Low is good,Right direction,N/A,No target set
Globally connected,Helping local people into jobs,TRUE,WORSE,FALSE,FALSE,18-24 year olds claiming jobseekers allowance,%,1.6,Coventry,Mar-16,1.8,Coventry,Sep-16,3.5,WMR,Sep-16,2.9,England,Sep-16,Low is good,Wrong direction,N/A,No target set
Globally connected,Helping local people into jobs,TRUE,NA,FALSE,FALSE,Residents aged 16-64 qualified to NVQ level 4+,%,29.5,Coventry,Jan-Dec 2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,No target set
