Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,Directionality,Progress,Target,Target Status, 
1,Globally connected,Supporting businesses to grow,BETTER,TRUE,Gross value added (pound per head),pounds,22427,Coventry,2014 revised,N/A,N/A,N/A,22165,Coventry,2015 provisional,N/A,N/A,N/A,23637,Coventry,2016 provisional,24500,Coventry ,2017 provisional,N/A,N/A,N/A,21441,WMR,2015 revised,N/A,N/A,N/A,22144,WMR,2016 provisional,22815,WMR,2017 provisional,N/A,N/A,N/A,26348,England,2015 revised,N/A,N/A,N/A,27060,England,2016 provisional,27949,England,2017 provisional,High is good,Right direction,To increase,No Target Set, 
2,Globally connected,Supporting businesses to grow,BETTER,TRUE,Business rates tax base (change from 2002 base),index,132.74,Coventry,2013/14,N/A,N/A,N/A,132.3,Coventry,2014/15,132.74,Coventry,2015/16,132.74,Coventry,2016/17 revised,137.17,Coventry ,2017/18,N/A,N/A,N/A,130.79,CIPFA,2014/15,131.54,CIPFA,2015/16,140.06,CIPFA,2016/17,140.12,CIPFA,2017/18,N/A,N/A,N/A,142.89,England,2014/15,144,England,2015/16,157.85,England,2016/17,157.85,England,2017/18,High is good,Right direction,To increase,No Target Set, 
3,Globally connected,Supporting businesses to grow,,FALSE,Business rates collectable value,millions of pounds,300.0m,Coventry,2015/16,300,Coventry,Apr-Sep 2016/17,310,Coventry, 2016/17 revised,309.2,Coventry,Apr-Sep 2017/18,313,Coventry,2017/18,319,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
4,Globally connected,Supporting businesses to grow,BETTER,TRUE,Business rates collection rate,%,97.8,Coventry,2015/16,96.9,Coventry,Apr-Sep 2016/17,97.8,Coventry, 2016/17,97.2,Coventry,Apr-Sep 2017/18,98.1,Coventry,2017/18,98.2,Coventry ,2018/20,N/A,N/A,N/A,97.4,Mets ,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98.2,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,98%,On-target, 
5,Globally connected,Supporting businesses to grow,WORSE,TRUE,"Active enterprises (rate per 10,000 population)","rate per 10,000 population",326,Coventry,2015 revised,N/A,N/A,N/A,342,Coventry,2016,N/A,N/A,N/A,355,Coventry,2017,340,Coventry ,2018,N/A,N/A,N/A,367,WMCA,2016,N/A,N/A,N/A,395,WMCA,2017,377,WMCA,2018,N/A,N/A,N/A,499,England,2016,N/A,N/A,2017,518,England,2017,515,England,2018,High is good,Wrong direction,To increase,No Target Set, 
6,Globally connected,Supporting businesses to grow,,FALSE,Active enterprises (number),number,8835,Coventry,2015 revised,N/A,N/A,N/A,9505,Coventry,2016,N/A,N/A,N/A,10065,Coventry,2017,9845,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
7,Globally connected,Developing the city centre,BETTER,TRUE,City centre footfall (year-on-year % change),%,3.2,Coventry,2015/16 revised,N/A,N/A,N/A,0.7,Coventry, 2016/17 revised,1.2,Coventry,Apr-Sep 2017/18,-0.3,Coventry,2017/18,0.2,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.6,UK Index ,2016/17,-2.9,UK Index ,Apr-Sep 2017/18,-3.7,England,2017/18,-8.7,UK Index,2018/19,High is good,Right direction,To increase,No Target Set, 
8,Globally connected,Raising the profile of Coventry,N/A,TRUE,Visitor trips,number,8217000,Coventry,2013,N/A,N/A,N/A,7974000,Coventry,2015 revised,N/A,N/A,N/A,7974000,Coventry,2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,To increase,No Target Set, 
9,Globally connected,Helping local people into jobs,BETTER,TRUE,Resident employment rate,%,64,Coventry,Jan-Dec 2015,66,Coventry,Jul 2015-Jun 2016,69,Coventry,Jan-Dec 2016,70,Coventry,Jul 2016-Jun 2017,70,Coventry,Jan-Dec 2017 ,72,Coventry ,Jan-Dec 2018,70.6,WMR,Jul 2015-Jun 2016,71.1,WMR,Jan-Dec 2016,72,WMR,Jul 2016-Jun 2017,72,WMR,Jan-Dec 2017 ,73,WMR,Jan-Dec 2018,74,England,Jul 2015-Jun 2016,75,England,Jan-Dec 2016,75,England,Jul 2016-Jun 2017,75,England,Jan-Dec 2017,75,England,Jan-Dec 2018 ,High is good,Right direction,To increase,No Target Set, 
10,Globally connected,Helping local people into jobs,BETTER,TRUE,Unemployment (model-based),%,6.3,Coventry,Jan-Dec 2015,6,Coventry,Jul 2015-Jun 2016,5.4,Coventry,Jan-Dec 2016,5,Coventry,Jul 2016-Jun 2017,5.2,Coventry,Jan-Dec 2017 ,4.6,Coventry ,Jan-Dec 2018,5.9,WMR,Jul 2015-Jun 2016,5.5,WMR,Jan-Dec 2016,5.1,WMR,Jul 2016-Jun 2017,5.2,WMR,Jan-Dec 2017 ,4.7,WMR,Jan-Dec 2018,5.1,England,Jul 2015-Jun 2016,4.7,England,Jan-Dec 2016,4.6,England,Jul 2016-Jun 2017,4.4,England,Jan-Dec 2017,4.1,England,Jan-Dec 2018 ,Low is good,Right direction,To decrease,No Target Set, 
11,Globally connected,Helping local people into jobs,BETTER,TRUE,"16-17 year olds not in education, employment or training (NEET) including not knowns",%,8.2,Coventry,End 2015,N/A,N/A,N/A,N/A,N/A,N/A,6.8,Coventry,2017,5.0,Coventry,Mar-18,5.4,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,7.3,WMCA,2017,5.4,WMR,Mar-18,6.4,WMR,2018,N/A,N/A,N/A,N/A,N/A,N/A,6.0,England,2017,5.6,England,Mar-18,6.0,England,2018,Low is good,Right direction,Less than national average,On-target, 
12,Globally connected,Helping local people into jobs,,FALSE,"16-17 year olds not in education, employment or training (NEET) excluding not knowns",%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1,Coventry,2017,3.5,Coventry,Mar-18,3.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,2.7,WMCA,2017,2.5,WMR,Mar-18,2.4,WMR,2018,N/A,N/A,N/A,N/A,N/A,N/A,2.8,England,2017,2.8,England,Mar-18,2.7,England,2018,Low is good, , , , 
13,Globally connected,Helping local people into jobs,,FALSE,"16-17 year olds not in education, employment or training (NEET) status not known",%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.7,Coventry,2017,1.5,Coventry,Mar-18,1.9,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,4.6,WMCA,2017,2.9,WMR,Mar-18,4,WMR,2018,N/A,N/A,N/A,N/A,N/A,N/A,3.2,England,2017,2.8,England,Mar-18,3.3,England,2018,Low is good, , , , 
14,Globally connected,Helping local people into jobs,EQUALS,TRUE,Residents qualified to NVQ level 4+,%,30,Coventry,"Jan-Dec
2015",N/A,N/A,N/A,34,Coventry,Jan-Dec 2016,N/A,N/A,N/A,35,Coventry,Jan-Dec 2017 ,35,Coventry ,Jan-Dec 2018,N/A,N/A,N/A,32,WMR,Jan-Dec 2016,N/A,N/A,N/A,32,WMR,Jan-Dec 2017 ,33,WMR,Jan-Dec 2018,N/A,N/A,N/A,38,England,Jan-Dec 2016,N/A,N/A,N/A,38,England,Jan-Dec 2017,39,England,Jan-Dec 2018,High is good,Similar/unchanged,To increase,No Target Set, 
15,Globally connected,Reducing the impact of poverty,BETTER,TRUE,Median annual pay (full-time employees) of residents,pounds,26913,Coventry,2015 revised,N/A,N/A,N/A,27969,Coventry,2016 revised,N/A,N/A,N/A,28412,Coventry,2017 revised,28927,Coventry ,2018 provisional,N/A,N/A,N/A,26270,WMR,2016 revised,N/A,N/A,N/A,26843,WMR,2017 revised,27636,WMR,2018 provisional,N/A,N/A,N/A,28500,England,2016 revised,N/A,N/A,N/A,29085,England,2017 revised,29869,England,2018 provisional,High is good,Right direction,To increase,No Target Set, 
