Sort Order,One Coventry Plan 2022-30 Vision,One Coventry Plan 2016-24 Vision,One Coventry Plan 2016-24 Priority,Council Plan 2016-24 Metric,Progress towards 2016-24 Plan,Target Status towards 2016-24 Plan,Council Plan 2022-30 Metric,Progress towards 2022-30 Plan,Target,Target Status towards 2022-30 Plan,Metric,Unit,2015/16 end of year metric value,2015/16 end of year metric scope,2015/16 end of year metric date,2016/17 half year metric value,2016/17 half year metric scope,2016/17 half year metric date,2016/17 end of year metric value,2016/17 end of year metric scope,2016/17 end of year metric date,2017/18 half year metric value,2017/18 half year metric scope,2017/18 half year metric date,2017/18 end of year metric value,2017/18 end of year metric scope,2017/18 end of year metric date,2018-19 end of year metric value,2018-19 end of year metric scope,2018-19 end of year metric date,2019-20 end of year metric value,2019-20 end of year metric scope,2019-20 end of year metric date,2020-21 end of year metric value,2020-21 end of year metric scope,2020-21 end of year metric date,2021-22 end of year metric value,2021-22 end of year metric scope,2021-22 end of year metric date,2022-23 end of year metric value,2022-23 end of year metric scope,2022-23 end of year metric date,2016/17 end of year metric comparator metric value,2016/17 end of year metric comparator metric scope,2016/17 end of year metric comparator metric date,2017/18 half year metric comparator metric value,2017/18 half year metric comparator metric scope,2017/18 half year metric comparator metric date,2017/18 end of year metric comparator metric value,2017/18 end of year comparator metric scope,2017/18 end of year metric comparator metric date,2018-19 end of year comparator metric value,2018-19 end of year comparator metric scope,2018-19 end of year comparator metric date,2019-20 end of year comparator metric value,2019-20 end of year comparator metric scope,2019-20 end of year comparator metric date,2020-21 end of year comparator metric value,2020-21 end of year comparator metric scope,2020-21 end of year comparator metric date,2021-22 end of year comparator metric value,2021-22 end of year comparator metric scope,2021-22 end of year comparator metric date,2022-23 end of year comparator metric value,2022-23 end of year comparator metric scope,2022-23 end of year comparator metric date,2016/17 end of year metric national metric value,2016/17 end of year metric national metric scope,2016/17 end of year metric national metric date,2017/18 half year metric national metric value,2017/18 half year metric national metric scope,2017/18 half year metric national metric date,2017/18 end of year metric national metric value,2017/18 end of year metric national metric scope,2017/18 end of year metric national metric date,2018-19 end of year national metric value,2018-19 end of year national metric scope,2018-19 end of year national metric date,2019-20 end of year national metric value,2019-20 end of year national metric scope,2019-20 end of year national metric date,2020-21 end of year national metric value,2020-21 end of year national metric scope,2020-21 end of year national metric date,2021-22 end of year national metric value,2021-22 end of year national metric scope,2021-22 end of year national metric date,2022-23 end of year national metric value,2022-23 end of year national metric scope,2022-23 end of year national metric date
1,Increasing the economic prosperity of the city and region,Globally connected,Supporting businesses to grow,TRUE,,,TRUE,BETTER,To increase,No Target Set,Regional gross domestic product (pound per head),pounds,,,,,,,,,,,,,,,,,,,31647,Coventry ,2018 revised,32288,Coventry ,2019 revised,30925,Coventry ,2020 revised,32314,Coventry,2021 provisional,,,,,,,,,,,,,,,,27733,West Midlands Region,2019 revised,25641,West Midlands Region,2020 revised,27649,West Midlands Region,2021 provisional,,,,,,,,,,,,,,,,34424,England,2019 revised,32154,England,2020 revised,34390,England,2021 provissional
2,Increasing the economic prosperity of the city and region,Globally connected,Developing the city centre,TRUE,,,TRUE,BETTER,To increase,No Target Set,City centre footfall (year-on-year % change),%,3.2,Coventry,2015/16 revised,,,,0.7,Coventry, 2016/17 revised,1.2,Coventry,Apr-Sep 2017/18,-0.3,Coventry,2017/18,0,Coventry ,2018/19 revised,-6.5,Coventry ,2019/20 revised,-63,Coventry ,2020/21 revised,55.5,Coventry ,2021/22 revised,58.4,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,-2.6,UK Index ,2016/17,-2.9,UK Index ,Apr-Sep 2017/18,-3.7,England,2017/18,-8.7,UK Index,2018/19,-4.7,UK Index,2019/20,-61.2,UK Index,2020/21,59.5,UK Index,2021/22,,,
3,Increasing the economic prosperity of the city and region,Globally connected,Raising the profile of Coventry,TRUE,,,TRUE,BETTER,To increase,No Target Set,Visitor trips,number,8217000,Coventry,2013,,,,7974000,Coventry,2015 revised,,,,7974000,Coventry,2015,7974000,Coventry ,2015,10030000,Coventry ,2019,4028000,Coventry ,2020,8197000,Coventry ,2021,11050000,Coventry,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Increasing the economic prosperity of the city and region,Globally connected,Helping local people into jobs,TRUE,,,TRUE,EQUALS,To increase,No Target Set,Resident employment rate (proxy for new jobs),%,64.3,Coventry,Jan-Dec 2015,66.3,Coventry,Jul 2015-Jun 2016,68.9,Coventry,Jan-Dec 2016,69.8,Coventry,Jul 2016-Jun 2017,70.3,Coventry,Jan-Dec 2017 ,71.6,Coventry ,Jan-Dec 2018,73,Coventry ,Jan-Dec 2019,71.4,Coventry ,Jan-Dec 2020 revised,71.5,Coventry ,Jan-Dec 2021 revised,72.1,Coventry,Jan-Dec 2022,71.1,West Midlands Region,Jan-Dec 2016,72,West Midlands Region,Jul 2016-Jun 2017,72.3,West Midlands Region,Jan-Dec 2017 revised,73.3,West Midlands Region,Jan-Dec 2018 revised,73.9,West Midlands Region,Jan-Dec 2019 revised,73.5,West Midlands Region,Jan-Dec 2020 revised,73.6,West Midlands Region,Jan-Dec 2021,73.8,West Midlands Region,Jan-Dec 2022,74.2,England,Jan-Dec 2016 revised,74.6,England,Jul 2016-Jun 2017 revised,75.1,England,Jan-Dec 2017 revised,75.4,England,Jan-Dec 2018 revised,76,England,Jan-Dec 2019 ,75.6,England,Jan-Dec 2020 revised,75.1,England,Jan-Dec 2021,75.8,England,Jan-Dec 2022
5,Increasing the economic prosperity of the city and region,Globally connected,Helping local people into jobs,TRUE,,,TRUE,BETTER,To decrease,No Target Set,Unemployment (model-based),%,6.1,Coventry,Jan-Dec 2015 revised,6,Coventry,Jul 2015-Jun 2016,5.4,Coventry,Jan-Dec 2016,5,Coventry,Jul 2016-Jun 2017,5.2,Coventry,Jan-Dec 2017 ,4.6,Coventry ,Jan-Dec 2018 revised,4.6,Coventry ,Jan-Dec 2019 revised,5.8,Coventry ,Jan-Dec 2020 revised,5.5,Coventry ,Jan-Dec 2021,4.9,Coventry,Jan-Dec 2022,5.5,West Midlands Region,Jan-Dec 2016,5.1,West Midlands Region,Jul 2016-Jun 2017,5.3,West Midlands Region,Jan-Dec 2017 revised,4.7,West Midlands Region,Jan-Dec 2018,4.8,West Midlands Region,Jan-Dec 2019,5.4,West Midlands Region,Jan-Dec 2020 revised,5,West Midlands Region,Jan-Dec 2021,4.6,West Midlands Region,Jan-Dec 2022,4.8,England,Jan-Dec 2016 revised,4.6,England,Jul 2016-Jun 2017,4.4,England,Jan-Dec 2017,4.1,England,Jan-Dec 2018 ,3.9,England,Jan-Dec 2019 ,4.7,England,Jan-Dec 2020 revised,4.5,England,Jan-Dec 2021,3.6,England,Jan-Dec 2022
6,Increasing the economic prosperity of the city and region,Globally connected,Helping local people into jobs,TRUE,,,TRUE,BETTER,Below (better than) national average,On-Target,"16-17 year olds not in education, employment or training (NEET) including not knowns",%,8.2,Coventry,End 2015,,,,,,,6.8,Coventry,2017,,,,5.4,Coventry ,2018,5.4,Coventry ,2019,5,Coventry ,2020,4.4,Coventry ,2021,3.9,Coventry,2022,,,,7.3,West Midlands Combined Authority,2017,,,,6.4,West Midlands Region,2018,5.3,West Midlands Region,2019,5.3,West Midlands Region,2020,5.7,West Midlands Region,2021,5,West Midlands Region,2022,,,,6,England,2017,,,,6,England,2018,5.5,England,2019,5.5,England,2020,5.5,England,2021,4.7,England,2022
7,Increasing the economic prosperity of the city and region,,,FALSE,,,TRUE,WORSE,Above or equal to national average,Off-Target,Destination of school leavers aged 16+,%,,,,,,,,,,,,,,,,,,,,,,,,,92,Coventry ,2019/20 revised,91.6,Coventry,2020/21,,,,,,,,,,,,,,,,,,,94,West Midlands Region,2019/20,92.5,Statistical Neighbours,2020/21,,,,,,,,,,,,,,,,,,,94,England,2019/20,93.8,England,2020/21
8,Increasing the economic prosperity of the city and region,,,FALSE,,,TRUE,WORSE,Above or equal to national average,On-Target,Destination of leavers aged 18 after reaching the end of 16 to 18 study,%,,,,,,,,,,,,,,,,,,,,,,,,,81.6,Coventry ,2019/20,78,Coventry,2020/21,,,,,,,,,,,,,,,,,,,,,,76.5,Statistical Neighbours,2021,,,,,,,,,,,,,,,,,,,81,England,2019/20,79.1,England,2020/21
9,Increasing the economic prosperity of the city and region,,,FALSE,,,TRUE,BETTER,66,Off-Target,New jobs created with the support of the Job Shop and Kickstart Scheme,number ,,,,,,,,,,,,,,,,,,,,,,34,Coventry ,2020/21,184,Coventry ,2021/22,56,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Increasing the economic prosperity of the city and region,,,FALSE,,,TRUE,WORSE,To increase,No Target Set,Apprenticeship levy transferred to support non-levy paying firms in Coventry,pounds,,,,,,,,,,,,,,,,,,,,,,74734,Coventry ,2020/21,97976,Coventry ,2021/22,55642,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
